filename,class
bad_weather\bad_weather1537.jpg,1
bad_weather\bad_weather368.jpg,1
good_weather\good_weather1251.jpg,0
good_weather\good_weather1570.jpg,0
good_weather\good_weather1277.jpg,0
bad_weather\bad_weather1476.jpg,1
bad_weather\bad_weather799.jpg,1
bad_weather\bad_weather1343.jpg,1
bad_weather\bad_weather1600.jpg,1
good_weather\good_weather1933.jpg,0
bad_weather\bad_weather346.jpg,1
good_weather\good_weather270.jpg,0
bad_weather\bad_weather1349.jpg,1
bad_weather\bad_weather91.jpg,1
good_weather\good_weather487.jpg,0
good_weather\good_weather168.jpg,0
bad_weather\bad_weather828.jpg,1
good_weather\good_weather2061.jpg,0
good_weather\good_weather1174.jpg,0
good_weather\good_weather1325.jpg,0
bad_weather\bad_weather263.jpg,1
bad_weather\bad_weather1462.jpg,1
bad_weather\bad_weather1678.jpg,1
good_weather\good_weather1638.jpg,0
bad_weather\bad_weather908.jpg,1
bad_weather\bad_weather933.jpg,1
good_weather\good_weather557.jpg,0
good_weather\good_weather907.jpg,0
bad_weather\bad_weather476.jpg,1
bad_weather\bad_weather417.jpg,1
bad_weather\bad_weather929.jpg,1
bad_weather\bad_weather1665.jpg,1
good_weather\good_weather1487.jpg,0
bad_weather\bad_weather1238.jpg,1
bad_weather\bad_weather659.jpg,1
good_weather\good_weather729.jpg,0
good_weather\good_weather26.jpg,0
bad_weather\bad_weather182.jpg,1
bad_weather\bad_weather350.jpg,1
bad_weather\bad_weather1603.jpg,1
bad_weather\bad_weather124.jpg,1
good_weather\good_weather1306.jpg,0
bad_weather\bad_weather1542.jpg,1
good_weather\good_weather1197.jpg,0
bad_weather\bad_weather1850.jpg,1
bad_weather\bad_weather871.jpg,1
good_weather\good_weather656.jpg,0
good_weather\good_weather97.jpg,0
bad_weather\bad_weather1274.jpg,1
good_weather\good_weather1175.jpg,0
bad_weather\bad_weather1432.jpg,1
good_weather\good_weather1956.jpg,0
good_weather\good_weather20.jpg,0
bad_weather\bad_weather507.jpg,1
bad_weather\bad_weather309.jpg,1
good_weather\good_weather606.jpg,0
good_weather\good_weather269.jpg,0
good_weather\good_weather2136.jpg,0
good_weather\good_weather2045.jpg,0
bad_weather\bad_weather1835.jpg,1
good_weather\good_weather1388.jpg,0
good_weather\good_weather2010.jpg,0
good_weather\good_weather2022.jpg,0
bad_weather\bad_weather845.jpg,1
bad_weather\bad_weather1177.jpg,1
bad_weather\bad_weather1077.jpg,1
bad_weather\bad_weather981.jpg,1
good_weather\good_weather1410.jpg,0
bad_weather\bad_weather1592.jpg,1
good_weather\good_weather1169.jpg,0
bad_weather\bad_weather305.jpg,1
bad_weather\bad_weather873.jpg,1
bad_weather\bad_weather228.jpg,1
good_weather\good_weather889.jpg,0
good_weather\good_weather799.jpg,0
good_weather\good_weather1255.jpg,0
bad_weather\bad_weather1798.jpg,1
good_weather\good_weather1453.jpg,0
bad_weather\bad_weather1326.jpg,1
bad_weather\bad_weather764.jpg,1
good_weather\good_weather1118.jpg,0
bad_weather\bad_weather644.jpg,1
good_weather\good_weather192.jpg,0
good_weather\good_weather189.jpg,0
bad_weather\bad_weather914.jpg,1
bad_weather\bad_weather98.jpg,1
bad_weather\bad_weather1066.jpg,1
good_weather\good_weather1953.jpg,0
bad_weather\bad_weather398.jpg,1
good_weather\good_weather1386.jpg,0
good_weather\good_weather404.jpg,0
good_weather\good_weather1180.jpg,0
bad_weather\bad_weather1402.jpg,1
good_weather\good_weather434.jpg,0
good_weather\good_weather1767.jpg,0
good_weather\good_weather813.jpg,0
bad_weather\bad_weather688.jpg,1
good_weather\good_weather1187.jpg,0
bad_weather\bad_weather484.jpg,1
good_weather\good_weather1371.jpg,0
good_weather\good_weather1702.jpg,0
good_weather\good_weather927.jpg,0
good_weather\good_weather626.jpg,0
bad_weather\bad_weather1126.jpg,1
good_weather\good_weather738.jpg,0
bad_weather\bad_weather1828.jpg,1
bad_weather\bad_weather1857.jpg,1
good_weather\good_weather904.jpg,0
good_weather\good_weather247.jpg,0
bad_weather\bad_weather919.jpg,1
bad_weather\bad_weather74.jpg,1
bad_weather\bad_weather258.jpg,1
bad_weather\bad_weather1401.jpg,1
good_weather\good_weather1994.jpg,0
bad_weather\bad_weather1336.jpg,1
bad_weather\bad_weather281.jpg,1
bad_weather\bad_weather357.jpg,1
bad_weather\bad_weather1070.jpg,1
bad_weather\bad_weather1618.jpg,1
bad_weather\bad_weather430.jpg,1
good_weather\good_weather1768.jpg,0
bad_weather\bad_weather943.jpg,1
good_weather\good_weather2058.jpg,0
bad_weather\bad_weather431.jpg,1
bad_weather\bad_weather1630.jpg,1
bad_weather\bad_weather1457.jpg,1
bad_weather\bad_weather1634.jpg,1
bad_weather\bad_weather1646.jpg,1
good_weather\good_weather1303.jpg,0
good_weather\good_weather1250.jpg,0
bad_weather\bad_weather424.jpg,1
bad_weather\bad_weather1518.jpg,1
good_weather\good_weather149.jpg,0
bad_weather\bad_weather1800.jpg,1
bad_weather\bad_weather524.jpg,1
good_weather\good_weather1040.jpg,0
good_weather\good_weather1006.jpg,0
good_weather\good_weather1495.jpg,0
good_weather\good_weather2102.jpg,0
good_weather\good_weather1715.jpg,0
good_weather\good_weather521.jpg,0
good_weather\good_weather1110.jpg,0
bad_weather\bad_weather1548.jpg,1
bad_weather\bad_weather1557.jpg,1
good_weather\good_weather1533.jpg,0
bad_weather\bad_weather1296.jpg,1
good_weather\good_weather2067.jpg,0
good_weather\good_weather1224.jpg,0
bad_weather\bad_weather30.jpg,1
good_weather\good_weather1911.jpg,0
good_weather\good_weather630.jpg,0
bad_weather\bad_weather513.jpg,1
good_weather\good_weather821.jpg,0
bad_weather\bad_weather1300.jpg,1
good_weather\good_weather69.jpg,0
good_weather\good_weather953.jpg,0
good_weather\good_weather1165.jpg,0
bad_weather\bad_weather445.jpg,1
good_weather\good_weather684.jpg,0
good_weather\good_weather1279.jpg,0
good_weather\good_weather2041.jpg,0
good_weather\good_weather1763.jpg,0
bad_weather\bad_weather276.jpg,1
good_weather\good_weather1123.jpg,0
bad_weather\bad_weather1101.jpg,1
good_weather\good_weather1728.jpg,0
good_weather\good_weather764.jpg,0
bad_weather\bad_weather383.jpg,1
bad_weather\bad_weather468.jpg,1
good_weather\good_weather1643.jpg,0
bad_weather\bad_weather1064.jpg,1
good_weather\good_weather405.jpg,0
good_weather\good_weather355.jpg,0
good_weather\good_weather1150.jpg,0
good_weather\good_weather254.jpg,0
bad_weather\bad_weather986.jpg,1
good_weather\good_weather622.jpg,0
bad_weather\bad_weather1463.jpg,1
bad_weather\bad_weather807.jpg,1
good_weather\good_weather94.jpg,0
good_weather\good_weather1050.jpg,0
good_weather\good_weather1999.jpg,0
good_weather\good_weather369.jpg,0
